Day;Month;x;TotalGametime;TotalPhotos;CorrectPhotos;NonHotspotPhotos;NonHotspotPhotosDuringMission;NumberEastereggs;TotalSceneCount;TotalMissionCount;TotalHandDistanceTravelled;Ratio;Gametime;Distance
31;8;3;1343.848;47;12;34;11;0;3;12;39.719619;0.255319149;1071.574968;26.39526176
31;8;2;1322.52;18;12;4;4;1;3;12;35.178265;0.666666667;SD;SD
7;9;4;992.4955;15;9;5;4;0;3;10;12.506922;0.6;470.0240827;7.641643456
7;9;3;1014.871;24;12;11;5;0;3;12;27.621706;0.5;;
9;9;3;1669.14;32;12;19;8;0;3;12;24.522617;0.375;1.477932719;
14;9;3;1238.503;43;12;28;13;2;3;12;39.702754;0.279069767;;
9;9;4;923.6872;26;11;14;11;0;3;12;21.864037;0.423076923;;
7;9;2;1024.415;17;12;3;3;0;3;12;22.48928;0.705882353;;
14;9;4;730.5375;17;12;2;2;0;3;12;15.882337;0.705882353;;
16;9;3;767.5948;21;12;7;4;1;3;12;25.165228;0.571428571;;
7;9;5;1037.328;17;12;4;2;0;3;12;40.366516;0.705882353;;
9;9;2;1137.55;23;12;10;5;0;3;12;24.13147;0.52173913;;
30;9;3;999.7387;25;11;13;5;0;3;12;27.983926;0.44;;
16;9;4;3490.235;11;8;2;1;0;2;8;16.129332;0.727272727;;
9;9;5;882.3914;18;12;4;1;0;3;12;30.965624;0.666666667;;
14;9;2;707.6244;18;12;4;2;0;3;12;28.858291;0.666666667;;
28;9;4;930.9042;19;11;7;4;0;3;12;16.449186;0.578947368;;
30;9;4;834.2152;20;12;6;3;1;3;12;17.985009;0.6;;
14;9;5;916.0829;22;12;8;2;0;3;12;21.799168;0.545454545;;
16;9;2;1070.984;19;12;4;2;0;3;12;33.547934;0.631578947;;
28;9;2;1612.562;20;11;8;2;0;3;12;24.496253;0.55;;
30;9;2;966.6038;17;12;3;0;1;3;12;22.935578;0.705882353;;
28;9;5;1003.582;19;12;5;2;0;3;12;35.154226;0.631578947;;
30;9;5;1331.37;16;12;3;1;0;3;12;23.031285;0.75;;
7;10;5;898.6209;14;12;1;1;0;3;12;33.793161;0.857142857;;
7;10;2;988.004;19;12;6;3;0;3;12;20.282064;0.631578947;;
12;10;2;829.3034;20;11;7;3;0;3;12;22.587192;0.55;;
12;10;5;785.932;17;11;5;2;0;3;12;33.424323;0.647058824;;
14;10;5;1038.391;15;12;1;1;0;3;12;43.257127;0.8;;
7;10;3;717.623;17;8;7;4;1;3;9;25.635962;0.470588235;;
12;10;3;725.5004;27;12;14;3;0;3;12;28.229543;0.444444444;;
7;10;4;766.024;16;12;2;2;0;3;12;20.766373;0.75;;
14;10;3;748.2776;30;12;17;6;0;3;12;31.619987;0.4;;
14;10;4;981.94;17;12;4;2;0;3;12;18.78867;0.705882353;;
5;10;5;940.8369;17;12;4;2;0;3;12;27.450201;0.705882353;;
5;10;2;1258.571;21;12;8;2;0;3;12;24.809778;0.571428571;;
5;10;4;1020.466;18;12;5;3;0;3;12;17.493741;0.666666667;;
